customer_id,subscription_plan,region,device_type,usage_hours_per_week,support_tickets,customer_lifetime_month,monthly_fee,total_revenue,churn_flag,subscription_status,cancellation_reason
1,Premium,,Unknown,12,1.0,4,90,360,0,Active,
2,Enterprise,Asia,Desktop,3,4.0,11,150,1650,1,Cancelled,Too Expensive
3,Standard,South America,Mobile,11,1.0,15,50,750,0,Active,
4,Enterprise,Asia,Unknown,19,1.0,18,150,2700,0,Active,
5,Enterprise,Asia,Mobile,0,0.0,20,150,3000,0,Active,
6,Basic,South America,Mobile,4,0.0,1,25,25,0,Active,
7,Standard,Asia,Tablet,8,1.0,1,50,50,0,Active,
8,Standard,South America,Mobile,7,3.0,11,50,550,0,Active,
9,Standard,South America,Mobile,2,2.0,29,50,1450,0,Active,
10,Enterprise,South America,Unknown,16,2.0,29,150,4350,0,Active,
11,Premium,,Mobile,9,0.0,24,90,2160,0,Active,
12,Standard,Europe,Tablet,19,3.0,20,50,1000,0,Active,
13,Enterprise,,Desktop,12,0.0,30,150,4500,0,Active,
14,Basic,South America,Desktop,4,3.0,5,25,125,1,Cancelled,Too Expensive
15,Premium,Europe,Unknown,13,2.0,10,90,900,0,Active,
16,Basic,Europe,Unknown,9,3.0,6,25,150,1,Cancelled,Other
17,Premium,South America,Mobile,0,0.0,4,90,360,0,Active,
18,Enterprise,Europe,Unknown,16,4.0,4,150,600,0,Active,
19,Basic,Europe,Mobile,6,1.0,7,25,175,0,Active,
20,Premium,,Unknown,18,1.0,33,90,2970,0,Active,
21,Basic,Europe,Desktop,16,2.0,9,25,225,0,Active,
22,Enterprise,South America,Desktop,12,2.0,26,150,3900,0,Active,
23,Premium,North America,Desktop,13,0.0,21,90,1890,0,Active,
24,Basic,North America,Desktop,4,3.0,22,25,550,0,Active,
25,Basic,North America,Mobile,7,0.0,33,25,825,0,Active,
26,Standard,South America,Mobile,1,0.0,33,50,1650,0,Active,
27,Standard,North America,Mobile,17,2.0,5,50,250,0,Active,
28,Basic,,Desktop,12,2.0,21,25,525,0,Active,
29,Premium,South America,Tablet,4,2.0,27,90,2430,0,Active,
30,Premium,South America,Desktop,17,0.0,1,90,90,0,Active,
