customer_id,subscription_plan,region,device_type,usage_hours_per_week,support_tickets,customer_lifetime_month,monthly_fee,total_revenue,churn_flag,subscription_status,cancellation_reason
1,Premium,NA,,12,1.0,4,90,360,0,Active,None
2,enterprise,Asia,Desktop,3,4.0,11,150,1650,1,Cancelled,Too Expensive
3,STANDARD,South America,Mobile,11,1.0,15,50,750,0,Active,None
4,enterprise,Asia,,19,1.0,18,150,2700,0,Active,None
5,enterprise,Asia,Mobile,-2,0.0,20,150,3000,0,Active,None
6,Basic,South America,Mobile,4,,1,25,25,0,Active,None
7,STANDARD,Asia,Tablet,8,1.0,1,50,50,0,Active,None
8,STANDARD,South America,Mobile,7,3.0,11,50,550,0,Active,None
9,STANDARD,South America,Mobile,2,2.0,29,50,1450,0,Active,None
10,enterprise,South America,,16,2.0,29,150,4350,0,Active,None
11,Premium,NA,Mobile,9,0.0,24,90,2160,0,Active,None
12,STANDARD,Europe,Tablet,19,3.0,20,50,1000,0,Active,None
13,enterprise,NA,Desktop,12,,30,150,4500,0,Active,None
14,Basic,South America,Desktop,4,3.0,5,25,125,1,Cancelled,Too Expensive
15,Premium,Europe,,13,2.0,10,90,900,0,Active,None
16,Basic,Europe,,9,3.0,6,25,150,1,Cancelled,Other
17,Premium,South America,Mobile,0,,4,90,360,0,Active,None
18,enterprise,Europe,,16,4.0,4,150,600,0,Active,None
19,basic,Europe,Mobile,6,1.0,7,25,175,0,Active,None
20,Premium,NA,,18,1.0,33,90,2970,0,Active,None
21,Basic,Europe,Desktop,16,2.0,9,25,225,0,Active,None
22,enterprise,South America,Desktop,12,2.0,26,150,3900,0,Active,None
23,Premium,North America,Desktop,13,,21,90,1890,0,Active,None
24,basic,North America,Desktop,4,3.0,22,25,550,0,Active,None
25,basic,North America,Mobile,7,,33,25,825,0,Active,None
26,STANDARD,South America,Mobile,1,0.0,33,50,1650,0,Active,None
27,STANDARD,North America,Mobile,17,2.0,5,50,250,0,Active,None
28,Basic,NA,Desktop,12,2.0,21,25,525,0,Active,None
29,Premium,South America,Tablet,4,2.0,27,90,2430,0,Active,None
30,Premium,South America,Desktop,17,,1,90,90,0,Active,None
31,STANDARD,South America,Desktop,12,,16,50,800,0,Active,None
32,Premium,Europe,Tablet,0,3.0,35,90,3150,1,Cancelled,Other
33,Premium,Europe,Tablet,2,4.0,32,90,2880,1,Cancelled,Better Alternative
34,basic,Europe,,17,2.0,29,25,725,0,Active,None
35,STANDARD,Asia,Desktop,4,4.0,23,50,1150,1,Cancelled,Low Usage
36,enterprise,NA,Tablet,5,,15,150,2250,0,Active,None
37,STANDARD,South America,,9,3.0,26,50,1300,0,Active,None
38,enterprise,South America,Tablet,13,,25,150,3750,0,Active,None
39,basic,Europe,Tablet,5,0.0,2,25,50,0,Active,None
40,Basic,South America,,9,1.0,12,25,300,0,Active,None
41,Premium,South America,Desktop,5,1.0,19,90,1710,0,Active,None
